Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,32.400002,32.799999,31.150000,32.000000,30.895290,568728
2020-01-03,31.250000,32.000000,29.799999,30.200001,29.157431,867327
2020-01-06,30.200001,31.150000,28.500000,30.900000,29.833265,378650
2020-01-07,31.100000,31.799999,30.400000,30.700001,29.640169,429916
2020-01-08,31.000000,31.400000,29.750000,29.900000,28.867788,772508
2020-01-09,30.500000,30.500000,29.000000,29.450001,28.433323,1197580
2020-01-10,29.750000,29.850000,29.049999,29.150000,28.143679,714611
2020-01-13,29.400000,29.850000,28.200001,29.000000,27.998859,645083
2020-01-14,29.000000,31.799999,28.350000,31.400000,30.316004,1204552
2020-01-15,32.000000,33.099998,32.000000,32.700001,31.571125,1641862
2020-01-16,33.299999,35.099998,33.250000,34.799999,33.598625,2338070
2020-01-17,35.250000,35.500000,33.299999,33.500000,32.343510,1227859
2020-01-20,33.500000,34.799999,33.349998,33.450001,32.295235,461985
2020-01-21,33.700001,34.000000,32.299999,33.299999,32.150410,549664
2020-01-22,33.500000,33.500000,31.799999,32.500000,31.378029,966764
2020-01-23,33.000000,33.150002,31.900000,33.000000,31.860769,559511
2020-01-24,33.200001,33.500000,31.799999,33.049999,31.909040,696778
2020-01-27,34.700001,35.500000,34.000000,34.700001,33.502083,2130178
2020-01-28,35.099998,35.500000,33.599998,34.650002,33.453808,1010527
2020-01-29,34.650002,35.000000,33.000000,33.099998,31.957315,722093
2020-01-30,33.250000,33.349998,32.049999,32.549999,31.426304,1156096
2020-01-31,32.900002,33.450001,32.299999,32.599998,31.474575,242553
2020-02-03,32.700001,33.450001,32.099998,32.599998,31.474575,270755
2020-02-04,33.250000,33.250000,31.799999,32.099998,30.991837,317108
2020-02-05,31.799999,33.000000,31.500000,31.750000,30.653921,302576
2020-02-06,32.200001,32.299999,31.549999,31.900000,30.798744,205756
2020-02-07,32.500000,32.549999,31.600000,31.950001,30.847019,198467
2020-02-10,32.099998,32.900002,30.299999,30.700001,29.640169,576168
2020-02-11,30.700001,30.700001,29.200001,29.400000,28.385050,520767
2020-02-12,29.799999,30.150000,29.350000,29.700001,28.674694,327659
2020-02-13,29.600000,29.600000,27.400000,28.350000,27.371298,738030
2020-02-14,28.400000,29.500000,27.900000,29.400000,28.385050,551645
2020-02-17,29.500000,30.700001,29.400000,30.600000,29.543621,456228
2020-02-18,30.900000,31.000000,29.100000,29.400000,28.385050,714895
2020-02-19,29.100000,30.000000,29.100000,29.400000,28.385050,374829
2020-02-20,29.500000,29.799999,28.400000,28.750000,27.757488,383328
2020-02-21,29.000000,29.400000,28.600000,28.850000,27.854034,213709
2020-02-26,27.450001,27.950001,26.400000,27.700001,26.743736,334871
2020-02-27,27.750000,28.000000,25.500000,25.750000,24.861055,463366
2020-02-28,25.700001,26.600000,24.049999,26.400000,25.488615,1524699
2020-03-02,26.799999,27.450001,26.500000,27.150000,26.212725,426781
2020-03-03,27.500000,28.000000,25.500000,26.000000,25.102425,590383
2020-03-04,26.200001,27.000000,26.200001,27.000000,26.067902,303303
2020-03-05,27.000000,27.299999,25.700001,25.850000,24.957602,307346
2020-03-06,25.549999,26.400000,24.799999,25.650000,24.764505,312052
2020-03-09,24.200001,24.850000,23.000000,23.299999,22.495632,518378
2020-03-10,24.100000,25.200001,23.500000,23.850000,23.026648,709136
2020-03-11,24.000000,24.100000,21.200001,21.700001,20.950869,732923
2020-03-12,20.900000,20.900000,18.500000,19.350000,18.681997,806011
2020-03-13,20.000000,21.200001,19.350000,20.500000,19.792295,894367
2020-03-16,19.000000,19.500000,17.799999,17.950001,17.330328,565783
2020-03-17,18.500000,18.700001,17.049999,17.450001,16.847591,647145
2020-03-18,17.000000,17.000000,13.500000,14.000000,13.516690,1040237
2020-03-19,14.050000,16.000000,13.550000,15.850000,15.302824,1695872
2020-03-20,15.900000,17.750000,15.900000,17.400000,16.799313,944793
2020-03-25,18.049999,19.000000,17.600000,18.549999,17.909613,696289
2020-03-26,19.000000,19.750000,18.500000,19.150000,18.488899,521836
2020-03-27,18.799999,19.000000,17.000000,18.049999,17.426872,642456
2020-03-30,18.049999,19.000000,17.200001,18.400000,17.764791,384026
2020-04-01,18.650000,19.350000,18.650000,19.150000,18.488899,312533
2020-04-02,19.150000,19.900000,19.000000,19.750000,19.068188,587790
2020-04-03,19.600000,20.500000,19.500000,20.400000,19.695747,409314
2020-04-06,21.100000,21.900000,20.900000,21.850000,21.095692,440211
2020-04-07,22.000000,22.799999,21.900000,22.700001,21.916348,718084
2020-04-08,23.000000,23.500000,23.000000,23.400000,22.592180,535875
2020-04-13,24.000000,24.799999,22.049999,24.650000,23.799030,1100149
2020-04-14,24.950001,26.299999,24.600000,25.900000,25.005877,1053656
2020-04-15,26.000000,26.299999,24.000000,25.850000,24.957602,821179
2020-04-16,26.100000,26.450001,24.000000,24.600000,23.750755,747390
2020-04-17,25.000000,26.000000,24.900000,25.650000,24.764505,525014
2020-04-20,25.600000,26.600000,24.500000,26.450001,25.536890,469255
2020-04-21,26.400000,26.600000,25.650000,26.450001,25.536890,559258
2020-04-22,26.600000,27.400000,26.350000,27.299999,26.357544,485568
2020-04-23,27.900000,27.900000,26.700001,27.549999,26.598915,732818
